Tanggal,Username,Tweet,Stemming,Translate,Label
Fri Mar 31 15:56:11 +0000 2023,antose_79,@ShaaShaSuliXO @RumantikaUpik @mohmahfudmd Tp faktanya infrastruktur yg di geber adlh tol bandara KA cpt JKT bdng IKN yg semuanya hsl ngutang tapi sepi dan manfaatnya Bwt si super kayo retribusinya Bwt cicil utang jg gk ckp klo infrastuktur jln umum dihandle pake APBN aja sdh ckp gk perlu Sampe 7400T,tp fakta infrastruktur di geber adlh tol bandara ka cpt jkt bdng ikn semua hsl ngutang sepi manfaat bwt si super kayo retribusi bwt cicil utang jg gk ckp klo infrastuktur jalan umum dihandle pake apbn aja ckp gk perlu sampe 7400t,in fact infrastructure in geber toll bandara ka cpt jkt bdng all hsl owed to the benefits of super kayo retribution bwt cicil debt jg gk ckp klo public infrastructure in the public road and ahead of 7400t,Netral
Mon Mar 20 10:20:29 +0000 2023,MarieBr75751278,@3lzh4s Tegaskan pemerataan Infrastuktur semua pembangunan berkonsep Indonesia Sentris #IKN,tegas perata infrastuktur semua bangun konsep indonesia sentris,firmly the infrastructure of all built indonesian centric concepts,Netral
Sun Jan 29 02:28:21 +0000 2023,naurafaranisaa,Saat ini pembangunan infrastuktur di IKN telah mencapai 12 persen #IbukotaNegara #IKN #SemangatNusantara https://t.co/GmEvkwrOnj,ini bangun infrastuktur ikn capai 12 persen,this ikn infrastructure builds 12 percent,Netral
Fri Jan 27 16:09:43 +0000 2023,ENS53311139,@OposisiCerdas @SuharmokoSlamet Kemarin sibuk ngurusin covid IKN &amp; PPKM plus vaksin uang jg blm ada fokus IKN dgn infrastruture btw sodetan pun infrastuktur yg jls ada Mentri yg hrsnya tanggap btw anggaran th ini sdh ditutup Krn April kan sdh dibagikan keseluruhannya paling nunggu pengajuan th dpn,kemarin sibuk ngurusin covid ikn amp ppkm plus vaksin uang jg blm fokus ikn dgn infrastruture btw sodet infrastuktur jls tri hrsnya tanggap btw anggar th tutup krn april kan sudah bagi seluruh paling nunggu aju th dpn,yesterday was busy taking care of the covid ikn amp ppkm plus a vaccine money also focused with infrastructure btw btw sodet infrastructure jls tri hrs had a responsive btw.,Netral
Mon Jan 23 03:23:24 +0000 2023,MRINDEPENDEN99,Investasi oligarki sudah cair..... NANTI TUKAR YA sama UU Peraturan Sda - Nikel batubara emas timah hph hutan project2 infrastuktur IKN project bumn dll... Siap siap miskin bangsa dan negara,investasi oligarki cair tukar sama uu atur sda nikel batubara emas timah hph hutan project2 infrastuktur ikn project bumn siap siap miskin bangsa negara,liquid oligarchy investment exchange same same sdhe nickel nickel gold coal tin hph forest project2 infrastructure ikn project bumn ready to be ready to be poor in the nation of the country,Netral
Thu Jan 19 01:00:32 +0000 2023,aidevvir,pemerintah sepakati 40 kontrak infrastuktur IKN #UntukRISejahtera https://t.co/WGvm4nVnsx,perintah sepakat 40 kontrak infrastuktur ikn,orders to agree 40 ikn infrastructure contracts,Netral
Wed Jan 11 01:03:37 +0000 2023,Nien1708,#EkonomiRITerbaik PLN telahmenyiapkan rencana pembangunan infrastuktur yg sejalan dgn prinsip envrironment sustainbility and Governance untuk melistriki pembangunan IKN.yg mengusung konsep future Smart Forest City Of Indonesia #EkonomiRITerbaik https://t.co/hlxn5gLM9I,pln telahmenyiapkan rencana bangun infrastuktur jalan dgn prinsip envrironment sustainbility and governance listrik bangun iknyg usung konsep future smart forest city of indonesia,pln has prepared a plan to build road infrastructure with the principle of environmental sustainability and electric governance to build the concept of future smart forest city of indonesia,Netral
Tue Dec 27 05:05:16 +0000 2022,halaucovid,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/wtUcmQYh2G,ikn nusantara punya potensi kembang infrastuktur,ikn nusantara has the potential for infrastructure flowers,Netral
Fri Dec 23 06:10:24 +0000 2022,KulopJambi_NKRI,Pemerintah kebut pengembangan infrastuktur hunian di IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/jI254BjR1q,perintah kebut kembang infrastuktur huni ikn nusantara,ikn nusantara ikn nusantara infrastructure development order,Netral
Wed Dec 21 07:27:03 +0000 2022,detektifcoonan,Pembangunan IKN sukses membuat berbagai infrastuktur penunjang yang berdampak sangat positif #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/0PIOrkd0Wo,bangun ikn sukses buat bagai infrastuktur tunjang dampak sangat positif,wake up to success make successful infrasturturturturants a very positive,Mendukung
Tue Dec 20 15:53:21 +0000 2022,Poerna9,@NasDem Percayalah 1. @aniesbaswedan adalah antitesa @jokowi 2. Pemerintahan @jokowi anti kritik itu kata @aniesbaswedan 3. Pemerintahan @jokowi d cemoh ibunya @aniesbaswedan krn mementingkan IKN dan infrastuktur. 4. Para pendukung @aniesbaswedan sebagian besar pembenci @jokowi,percaya 1 antitesa 2 perintah anti kritik kata 3 perintah d cemoh ibu krn penting ikn infrastuktur 4 dukung bagi besar benci,believe 1 antitesa 2 anti -critical order word 3 commands d cemoh mother because it is important that infrastructure 4 supports for big hate,Netral
Thu Nov 17 05:54:51 +0000 2022,Nusatmr,konsep green infrastuktur dalam pembangunan ikn nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara https://t.co/WyBtS6tEul,konsep green infrastuktur bangun ikn nusantara,green infrastructure concept building ikn nusantara,Tidak Mendukung
Thu Nov 17 05:08:57 +0000 2022,gerbang_utama,IKN Nusantara sebagai kunci pengembangan infrastuktur bagi Indonesia! #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/Uv7wa6ez0t,ikn nusantara kunci kembang infrastuktur indonesia,ikn nusantara key of indonesia infrastructure function,Netral
Mon Nov 14 10:36:15 +0000 2022,daeng_embang,Kata bu sry mulyani dlm presidensi G20 Indonesia masih membutuhkan investasi di bidang infrastuktur hijau &amp; energi hijau yy cukup besar Aneh butuh investasi energi hijau tp scr bersamaan bangun IKN. tentu byk alam rusak. Apalagi keputusan sudah dibuat sebelum AMDAl(Jokowi).,kata bu sry mulyani dlm presidensi g20 indonesia butuh investasi bidang infrastuktur hijau amp energi hijau yy cukup besar aneh butuh investasi energi hijau tp scr sama bangun ikn byk alam rusak putus buat amdaljokowi,said mrs. sry mulyani in the presidential g20 indonesia requires investment in the field of green infrastructure amp green energy yy which is quite weird need to invest in green energy but it is the same as building natural broken for amdaljokowi,Netral
Sat Nov 12 13:46:53 +0000 2022,Itorhs,@MrsRachelIn @NasDem @ganjarpranowo Jokowi tdk akan mendukung Anies sebagai antitesanya Jokowi yang dicapreskan Koalisi Perubahan (Nasdem Demokrat &amp; PKS) koalisi yg akan MERUBAH kebijakan Jokowi sebelumnya termasuk proyek pembangunan IKN infrastuktur dan pembubaran HTI dan FPI.,jokowi tdk dukung anies antitesanya jokowi dicapreskan koalisi ubah nasdem demokrat amp pks koalisi akan rubah bijak jokowi belum masuk proyek bangun ikn infrastuktur bubar hti fpi,jokowi does not support anies antithesis jokowi is represented by the coalition of changing the democratic nasdem amp pks coalition will change the wise jokowi not yet entered the ikn infrastructure project to disband hti fpi,Sangat Mendukung
Sat Nov 12 05:36:01 +0000 2022,gerbang_utama,Pembangunan IKN Nusantara untuk majukan kualitas SDM dan pembangunan infrastuktur! #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara https://t.co/USjv1lQCbj,bangun ikn nusantara maju kualitas sdm bangun infrastuktur,build ikn nusantara maju quality of hr build infrastructure,Netral
Thu Nov 10 05:08:10 +0000 2022,sushiitr4shh,Mantap! Presiden Jokowi mulai bangun infrastuktur hunian di IKN Nusantara! Jambi #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara https://t.co/Jx99Rflo3Q,mantap presiden jokowi mulai bangun infrastuktur huni ikn nusantara jambi,former president jokowi began to build ikn nusantara jambi's infrastructure,Netral
